iter	Logloss
0	0.5959702319
1	0.5298366473
2	0.4627494277
3	0.4184172996
4	0.3828251769
5	0.3498265216
6	0.3261688242
7	0.3032692165
8	0.2866673956
9	0.2728963151
10	0.264148506
11	0.2568302784
12	0.2502867552
13	0.2432961234
14	0.2374086938
15	0.2334931133
16	0.2291289759
17	0.2269678666
18	0.2241894815
19	0.2220545905
20	0.2203344773
21	0.2183830881
22	0.2171724101
23	0.2158327563
24	0.2144653867
25	0.2133625369
26	0.2121750483
27	0.2113591507
28	0.2106731025
29	0.2100963515
30	0.2097293176
31	0.2090495755
32	0.2087922372
33	0.2084292961
34	0.2080191926
35	0.2076584712
36	0.2071901788
37	0.2066006378
38	0.2061371142
39	0.2059877155
40	0.2058618175
41	0.205687531
42	0.2055002936
43	0.2052933745
44	0.2050205436
45	0.2048777414
46	0.2047763405
47	0.2046226803
48	0.2043837014
49	0.2042878337
50	0.204176348
51	0.2039213817
52	0.2037990201
53	0.2037215588
54	0.2035990572
55	0.2034517968
56	0.2033113609
57	0.203134347
58	0.20303194
59	0.2028996645
60	0.2027851967
61	0.2026243262
62	0.2025501556
63	0.2024321
64	0.2022940171
65	0.2018649407
66	0.2017785501
67	0.2016895231
68	0.2015878494
69	0.2015161689
70	0.2014329878
71	0.2013799178
72	0.2013240967
73	0.2012501395
74	0.2012108369
75	0.2011500764
76	0.2010905252
77	0.2010519366
78	0.201007967
79	0.2009585542
80	0.2009031109
81	0.2008375279
82	0.200760314
83	0.200714561
84	0.2006735584
85	0.2006267059
86	0.2005731114
87	0.2005361166
88	0.2004898099
89	0.2004269756
90	0.2003746266
91	0.2003296436
92	0.2002978474
93	0.2002369597
94	0.2001289777
95	0.2000824801
96	0.2000377446
97	0.1999726437
98	0.1999335471
99	0.1998914455
100	0.1998459364
101	0.1997112824
102	0.199678251
103	0.1996019855
104	0.1995471255
105	0.1995097718
106	0.1994597092
107	0.1991768571
108	0.1991317701
109	0.1991057037
110	0.1990730193
111	0.1990372948
112	0.1989668434
113	0.1989316078
114	0.1988780199
115	0.1988451293
116	0.1988150093
117	0.1987834678
118	0.1987512966
119	0.1987319773
120	0.1986897863
121	0.1986581805
122	0.198638215
123	0.1986151531
124	0.1985667002
125	0.1985171125
126	0.1982239165
127	0.1980607408
128	0.1980392624
129	0.1979998595
130	0.1979498561
131	0.1979300036
132	0.1978925154
133	0.1978707581
134	0.1978561651
135	0.1978253703
136	0.1978095276
137	0.1977880191
138	0.1977534931
139	0.197727846
140	0.1976580757
141	0.1976353396
142	0.197612872
143	0.1975789765
144	0.1975530109
145	0.1975048317
146	0.1974712758
147	0.1974457349
148	0.1974223636
149	0.1973963931
150	0.1973812034
151	0.1973637833
152	0.197341482
153	0.1973101568
154	0.1972948933
155	0.1972694408
156	0.1970689874
157	0.1970168008
158	0.1969872373
159	0.1969644205
160	0.1969384165
161	0.1969145902
162	0.1968891965
163	0.1968681826
164	0.1968506884
165	0.1968085672
166	0.1967850852
167	0.1967629812
168	0.1967327999
169	0.1967131351
170	0.1966987253
171	0.1966741701
172	0.1966536115
173	0.196628284
174	0.1966101484
175	0.1965928845
176	0.1965735263
177	0.1965530875
178	0.1965334023
179	0.1965074395
180	0.196486864
181	0.1964619422
182	0.1964205052
183	0.1964042492
184	0.1963838378
185	0.1963513167
186	0.1963260468
187	0.1962874719
188	0.1962557095
189	0.196226663
190	0.1962070961
191	0.1960364732
192	0.1960210957
193	0.1960028983
194	0.1959780161
195	0.1959507851
196	0.1959331153
197	0.1959084958
198	0.195887879
199	0.1958599637
200	0.1958445207
201	0.1958096508
202	0.1957871903
203	0.1957668066
204	0.1957517464
205	0.1957241103
206	0.1957064185
207	0.1956710723
208	0.1956473734
209	0.1956208357
210	0.1955963283
211	0.1955770025
212	0.1955592512
213	0.1955363318
214	0.19551722
215	0.195492903
216	0.1954791468
217	0.195464634
218	0.1953264862
219	0.1953121078
220	0.1952758605
221	0.1952445438
222	0.1951314657
223	0.1951155477
224	0.1950942281
225	0.1950759766
226	0.1950154458
227	0.1949939906
228	0.1949679687
229	0.1949367068
